feedback_id,app,title,text,topic,rating,timestamp,city_label,area_label,driver_id,trip_id,is_demo_spike
FB-00011,GreenSM,Cskh và dịch vụ tệ hại,Cskh và dịch vụ tệ hại. xanh sm chăm sóc khách hàng và dịch vụ tệ hại Mng đi ctac cần xuất VAT chuyến đi về cty thanh toán thì né xanh sm khỏi rước bực vào người Có mỗi việc xuất VAT chuyến đi mà gần 1 tháng rồi Xanh SM không giải quyết cho tôi. Cứ hỏi đến là nói đã gửi thông tin đến bộ phận liên quan xong cứ kệ mẹ khách hàng. Phải nhắn đến lần thứ 4 vẫn chưa được giải quyết. Chưa bh gặp hãng nào khó khăn xuất VAT như này luôn,Payment,1,2026-05-20T02:53:50-07:00,Đà Nẵng,"Thanh Khê, Đà Nẵng",DRV-DN-0149,TRIP-20260608-00011,FALSE
FB-00012,GreenSM,Phản hồi của khách hàng,"Phản hồi của khách hàng. Tối 7h ngày 31/5, mình đặt 1chuyến SM. Đợi 12p tài xế qua đón, mình đi bộ ra điểm đón và ra hiệu cho tài xế chạy lên rẽ trái cho tiện quay đầu. Tài xế không hiểu ý, ko mở cửa xe hỏi xem thế nào mà tự động lùi xe huỷ chuyến. Mình là khách đi thường xuyên của các hãng nhưng chưa gặp phải tài xế nào có thái độ thượng đẳng khi phục vụ khách như vậy. Đã đánh giá 2sao cho hãng là nể mặt hãng lắm rồi nhé.",Driver Behavior,2,2026-05-31T16:28:17-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0264,TRIP-20260608-00012,TRUE
FB-00013,GreenSM,Tài xế bike thiếu chuyên nghiệp ( ô tô chuyên nghiệp ),"Tài xế bike thiếu chuyên nghiệp ( ô tô chuyên nghiệp ). Này là vấn đề đào tạo tài xế, ô tô và bus chuyên nghiệp bao nhiêu thì bike bất ổn bấy nhiêu. Ngày nào mình cũng đi bike, hết 8/10 tài xế là hấp tấp, hối khách, trong khi chỉ đợi chưa đến 3m nữa, mình pick trước vì trừ hao thời gian đợi, mà hãng này cứ như là ai nợ 8 đời họ hay sao mà hối hả, thái độ tệ. Và cái này chỉ xảy ra ở miền bắc, miền nam thì ngược lại.",Driver Behavior,1,2026-05-23T02:31:58-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0053,TRIP-20260608-00013,TRUE
FB-00014,GreenSM,Tài xế chở khách kh có áo mưa,Tài xế chở khách kh có áo mưa. Công ty nên có quy định tài xế chở khách nên trang bị áo mưa hoặc ít nhất là có cái tà cho khách che mưa. Đang chạy ngoài đường trời mưa ướt nhẹp hỏi tài xế bảo công ty đâu có quy định tài xế phải có áo mưa cho khách. Khách hàng hỏi lại lỡ đang đi xe trời mưa lớn thì khách phải làm sao. Tài xế bảo “thế thì chịu rồi”. Tôi cũng chịu công ty với tài xế luôn đó.,Driver Behavior,1,2026-05-26T05:06:15-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0402,TRIP-20260608-00014,TRUE
FB-00015,GreenSM,"Dịch vụ bảo hiểm tệ, có như không.","Dịch vụ bảo hiểm tệ, có như không.. Gửi hàng có chi phí bảo hiểm, nhưng khi có vấn đề xảy ra, tài xế làm hư hàng hoá. Bên dịch vụ hỗ trợ nói là tài xế đã cam kết bằng văn bản rằng giao thành công không gây hư hại. Trong khi cửa hàng có đầy đủ hình ảnh chứng minh trước giao và hình ảnh hư hại khi khách nhận. Và kết quả là shop tự chịu, bảo hiểm không giải quyết bất kì gì cho khách hàng.",Driver Behavior,1,2026-05-26T01:41:48-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0022,TRIP-20260608-00015,TRUE
FB-00016,GreenSM,Đặt xe,"Chiều ngày 29/5/2026, tôi có đặt xe từ phố Thể Giao để về Hoàng Quốc Việt. Tôi đặt và bị trừ tiền nhiều lần nhưng vẫn không có xe và sau đó tôi phải đặt grap để đi đến Hai Bà Trưng, sau đó tôi tiếp tục đặt và vẫn không có xe. Tôi nghĩ do giờ cao điểm nhưng khi đặt sang grap thì có xe ngay mà giá còn thấp hơn. Đến giờ vẫn chưa hoàn tiền về tài khoản trả tôi. Tôi thực sự thất vọng",Payment,1,2026-05-30T08:59:50-07:00,Hà Nội,"Đống Đa, Hà Nội",DRV-HN-0342,TRIP-20260608-00016,FALSE
FB-00017,GreenSM,Shipper tệ-CSKH tệ nốt,"Shipper tệ-CSKH tệ nốt. Shipper ăn đồ ăn của mình đã thanh toán vì mình để shipper đợi 12p, gọi điện xin lỗi thiện chí xin đặt cuốc khác để lấy lại món shipper k đồng ý thái độ tệ bắt khách thông cảm. Nhờ CSKH hỗ trợ CSKH báo shipper đúng quy trình k hỗ trợ, k giải thích gì thêm. Phải qua Shopee vội vì lỡ trễ còn đc giữ món 60p chứ Green SM trễ 1p cái đùng là đồ ăn bốc hơi :))",Payment,1,2026-05-26T00:54:08-07:00,Hồ Chí Minh,"Thủ Đức, Hồ Chí Minh",DRV-HCM-0128,TRIP-20260608-00017,FALSE
FB-00018,GreenSM,Thanh toán siêu dở,"Thanh toán siêu dở. Đặt cuốc xe thấy tài xế cách xa, huỷ để đặt lại nhưng tiền ko hoàn về ngay, chờ rất lâu. Phải nạp thêm tiền vào đặt tiếp. Nếu có vấn đề gì phải huỷ đặt lại thì cứ phải đi nạp tiền thêm vào. Quá phiền, rất phiền, phiền đến bực bội Ngoài ra, định vị của app rất kém nha. Mấy anh chị phát triển app đọc để khắc phục đi chứ các app khác người ta ngon lành lắm đó",Driver Behavior,1,2026-05-28T19:12:12-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0319,TRIP-20260608-00018,TRUE
FB-00019,GreenSM,Kinh khủng,"Kinh khủng. App rất dở , xanh đến trễ hay không đến cũng không điện báo khách , cố tình đến thật trễ thật trễ ( để ngta tự huỷ chuyến ) ảnh hưởng đến thời gian công việc người khác ! Đến hay không đến thì cũng phải báo cho ngta biết để nngta huỷ , cứ chờ trong vô vọng ! Điện tới thì không bắt máy , nên có bài test đạo đức và trách nhiệm công việc trước khi cho tài xế vào làm",Driver Behavior,1,2026-06-02T02:57:25-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0267,TRIP-20260608-00019,TRUE
FB-00020,GreenSM,Tài xế hủy chuyến do giá thấp,"Tài xế hủy chuyến do giá thấp. Tôi muốn đi xe điện để trải nghiệm và không say xe chứ không phải tiết kiệm vài đồng bạc. Book xe mà hết tài xế này hủy tài xế kia hủy, có bạn chạy tới tưởng đón thì lại kêu nhờ hủy vì cước rẻ quá chạy không được. App nên điều chỉnh lại cho hợp lý để người ta không cảm thấy thiệt thòi, trải nghiệm khách hàng cũng sẽ tốt hơn.",Driver Behavior,2,2026-05-31T22:54:13-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0303,TRIP-20260608-00020,TRUE
FB-00021,GreenSM,App như cc,"App như cc. Mới vừa bấm đặt hàng chưa được 2s đã ko thể huỷ đơn được nữa, lỡ người ta bấm nhầm rồi thì khỏi huỷ nhá. Gọi điện cho tài xế thì tài xế bảo ko huỷ được, huỷ là phạt tài xế cả triệu, gọi quán cũng ko huỷ được. Ít ra cũng nên để pending giao dịch vài phút như Grab để còn check đơn chứ. Giao diện thì ngu thôi rồi suốt ngày bắt cập nhật app",Driver Behavior,1,2026-06-03T19:15:59-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0230,TRIP-20260608-00021,TRUE
FB-00022,GreenSM,Bad service,"Bad service. Đặt xe từ Ngoại Giao Đoàn HN đi BN lúc 7h30. Tuyến đường tốt nhất giờ cao điểm là cầu Nhật Tân mất 45’, App Xanh SM chỉ đi cầu Chương Dương tốn 2h, trước app có tính năng chọn tuyến đường tối ưu nhất giờ chắc tắt, nếu khách y/c đi tuyến nhanh nhất thì yêu cầu trả thêm tiền. 👎🏻👎🏻👎🏻 vậy là đang tối ưu cho khách hàng, hãng hay tài xế ?",Driver Behavior,1,2026-05-25T18:15:28-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0093,TRIP-20260608-00022,TRUE
FB-00023,GreenSM,xanh ngon không có tính năng huỷ,"xanh ngon không có tính năng huỷ. xanh ngon k có tính năng huỷ ngay nếu khách lỡ đặt nhầm, gọi lên tổng đài thì kêu thông cảm trong khi khách lỡ ấn nhầm là app khoá ngay không cho huỷ xong bảo là phục vụ theo kiểu đặt giao liền tích cực. App grab còn có tính tăng trong vòng 3 4s cho khách suy nghĩ lại còn app xanh thì không... siêu tệ.",App Issue,1,2026-05-31T05:58:55-07:00,Hồ Chí Minh,"Bình Thạnh, Hồ Chí Minh",DRV-HCM-0304,TRIP-20260608-00023,FALSE
FB-00024,GreenSM,Lỗi định vị,Lỗi định vị. Định vị trên thanh tìm kiếm là địa chỉ q12 cũ nhưng định vị của tài xế lại là thủ đức (q2 cũ). Ảnh hưởng đến khách hàng và tài xế giao hàng. Lỗi ở ứng dụng của công ty nhưng chịu thêm phí hỗ trợ cho tài xế lại là khách hàng. Mong đội ngũ kỹ thuật nên hotfix phần lỗi này để khách hàng và tài xế có thể trải nghiệm tốt hơn,Driver Behavior,1,2026-05-27T23:35:48-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0291,TRIP-20260608-00024,TRUE
FB-00025,GreenSM,.,"Mình hẹn giờ đặt xe, app cho đặt, thanh toán trước. Nhưng đến gần giờ đón 5' mới báo không có xe. Trên app báo, "" dịch vụ không khả dụng "", kêu mình đổi địa điểm. Dịch vụ chưa có tại khu vực từ đầu nên báo trước hoặc không đặt được. Còn cho đặt đến giờ đón lại báo không được. Lần đầu trải nghiệm dịch vụ mà lại tệ đến vậy.",Payment,1,2026-05-30T04:37:36-07:00,Hồ Chí Minh,"Gò Vấp, Hồ Chí Minh",DRV-HCM-0394,TRIP-20260608-00025,FALSE
FB-00026,GreenSM,Cải thiện dịch vụ,"Cải thiện dịch vụ. Tuyển tài xế đầu vào của Xanh nên chú trọng tài xế rành đường hoặc ít nhất có thể đọc bản đồ rành để tránh đi sai đường. Đặc biệt là nên kiểm tra luật giao thông vì tài xế cong không phân biệt được làn xe máy, xe hơi hay làm hỗn hợp, biển báo tốc độ của không chú ý, rất nguy hiểm cho hành khách",Safety,2,2026-05-26T23:21:22-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0079,TRIP-20260608-00026,TRUE
FB-00027,GreenSM,Làm ăn lừa đảo bố láo,"Làm ăn lừa đảo bố láo. Vừa bấm nhầm nút đặt đơn xong vào huỷ không huỷ được, tiền thì trừ thẳng tay. Gọi tổng đài thì tổng đài bảo gọi quán quán không cho huỷ, gọi quán thì quán bảo tổng đài không hề gọi, mình tin quán nhé! Làm ăn bố láo lừa đảo người dùng à? Xem lại tư cách tập đoàn lớn nhất VN đi nhé!",Payment,1,2026-06-02T20:53:52-07:00,Hà Nội,"Tây Hồ, Hà Nội",DRV-HN-0079,TRIP-20260608-00027,FALSE
FB-00028,GreenSM,Tệ,"Tệ. Đéo hiểu app chọn đường kiểu gì, chọn đường vừa dài vừa tắc vừa lâu địt mẹ, đã muộn học thì chớ còn chọn đường ngu vl, mình đặt thử app khác thì họ đều đi đường ok dhs xanh sm chọn đường dài vl, lại còn trong ngõ, muộn mẹ học r dm, ae đặt mẹ grab hay gì đắt hơn 1-2k nma nó chất lượng hơn cdb này",App Issue,1,2026-06-05T04:02:13-07:00,Hà Nội,"Tây Hồ, Hà Nội",DRV-HN-0278,TRIP-20260608-00028,FALSE
FB-00029,GreenSM,Đặt 1 cuốc nhưng 15 cái thông báo,"Đặt 1 cuốc nhưng 15 cái thông báo. Đặt giao hàng mà bị thông báo liên tục :)))) nào là tài xế đã nhận cuốc, tài xế đang đến, tài xế sắp đến, tài xế đã đến, đã lấy hàng thành công. Mẹ tụi mi bị ngu hả Vin, thừa thãi vl zậy ? Thông báo con cặc gì thông báo lắm vậy :) Dùng cái app mà phiền vãi lồn ra",Driver Behavior,1,2026-05-28T19:56:18-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0201,TRIP-20260608-00029,TRUE
FB-00030,GreenSM,Thất vọng cho hãng xe taxi điện,"Thất vọng cho hãng xe taxi điện. Giá quá đắt. Tài xế nói giá mập mờ, trên xe thì nói 21km khoảng hai trăm mấy chục k nhưng khi thanh toán thì app hiện giá 368k. Chưa kể tài xế đi lòng vòng 2-3 km không thèm di theo map đến khi khách hỏi thì bảo mình ở tỉnh khác mới đến đây được 1 tuần ?!",Driver Behavior,1,2026-06-04T06:25:15-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0274,TRIP-20260608-00030,TRUE
FB-00031,GreenSM,App rất kì cục và khó hiểu,App rất kì cục và khó hiểu. Tự nhiên tôi không có làm cái gì hết mà tôi không vô được cái app xanh nó ghi là bị lỗi hệ thống gì đó sau đó tôi xóa app tải lại nhập số điện thoại vô thì nó ghi số điện thoại này đã bị khóa??? mắt chìa khóa người ta không hề bom hàng hay bất cứ cái gì luôn,App Issue,1,2026-05-20T03:39:27-07:00,Hà Nội,"Đống Đa, Hà Nội",DRV-HN-0406,TRIP-20260608-00031,FALSE
FB-00032,GreenSM,App cùi,"App cùi. Định vị nhảy vị trí tùm lum. Đặt 1 cuốc xe mà báo tới 3 tài, nhận cuốc báo 1 tài bs xe, đến điểm đón (tài xế gọi) app báo 1 tài và bs xe khác, ra tìm xe (tài xế gọi đón) thì app lại báo 1 tài xế và biển xố khác (trong lúc tài xế thì nói em nhận cuốc nãy giờ)… bó tay.",Driver Behavior,1,2026-05-20T20:25:58-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0341,TRIP-20260608-00032,TRUE
FB-00033,GreenSM,Không tôn trọng khách hàng,"Không tôn trọng khách hàng. Đặt giao hàng chờ rất lâu. Xong rồi có tài nhận thì liên tục tự huỷ đơn ko nhận. Cuối cùng sau 30-40 phút thì đến app tự báo đơn đã được huỷ , mà trong khi đó người giao hàng không tự huỷ. Ko bao giờ dùng lại app giao hàng của Xanh SM nữa",App Issue,1,2026-06-01T21:53:39-07:00,Hà Nội,"Tây Hồ, Hà Nội",DRV-HN-0320,TRIP-20260608-00033,FALSE
FB-00034,GreenSM,Định vị sai,"Định vị sai. Mình thấy App rất tệ trong định vị, để khách đợi lâu, tài xế thì đi sai đường, 1 địa điểm mình định vị rất nhiều lần mà tài xế đi theo App chỉ sai quài, đánh giá dịch vụ cuốc đi thì sợ tài xế bị trừ tiền vì k phải lỗi của tài, xanh cần xem xét lại",Driver Behavior,1,2026-06-03T06:31:19-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0393,TRIP-20260608-00034,TRUE
FB-00035,GreenSM,Đky ưu đãi nhưng không đc sử dụng,Đky ưu đãi nhưng không đc sử dụng. Mình đã đky gói green limo vì mình đi lại nhiều cuối cùng nó lại viết là xe không hợp lệ? Ủa vậy để cái chữ Ưa đãi Green limo to tổ bố ở đấy mà chỉ ưu đãi cho green limo thôi ngta mất tiền mà không được hưởng là ntn vậy 🙂,Payment,1,2026-06-01T23:05:35-07:00,Hồ Chí Minh,"Quận 1, Hồ Chí Minh",DRV-HCM-0253,TRIP-20260608-00035,FALSE
FB-00036,GreenSM,Xe máy biển số 29G2 16537,"Xe máy biển số 29G2 16537. Không gọi k nhắn được tổng đài nên nhắn lên đây có ai đó giải quyết. Tài xế chắn đường ưu tiên rẽ, nói tránh ra thì nói tránh không được, đứng nửa xe máy xuống chặn đường, thái độ không tốt, cho tôi phản hồi xử phạt như thế nào",Driver Behavior,1,2026-05-23T22:32:40-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0413,TRIP-20260608-00036,TRUE
FB-00037,GreenSM,Tài xế thái độ,"Tài xế thái độ. Hôm nay mình đi trên đường lvsy thì gặp 1 chiếc xanh sm, lúc m coa ý muốn băng qua để quẹo thì thay vì k cho có thể bóp kèn nhưng tài xế chọn ủi vào xe m làm ngã xe, thái độ rất kì cục, dùng xe hơi ủi xe máy đến ngã xe vậy là ok hả",Driver Behavior,1,2026-06-02T07:42:21-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0213,TRIP-20260608-00037,TRUE
FB-00038,GreenSM,Bị khoá tài khoản k lý do,"Bị khoá tài khoản k lý do. Lâu lắm rồi mới vô app mà tự dưng bị khoá rất hỏi chấm vì bình thường đi xe thanh toán đầy đủ , thuy thoảng tài xê cọc cũng hoan hỉ , app bị ảo nhân quyền hay gì , mấy lần tài xế cọc t còn k ý kiến , tức k nói nên lời",Driver Behavior,1,2026-05-25T07:04:00-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0417,TRIP-20260608-00038,TRUE
FB-00039,GreenSM,Chất lượng cực kỳ kém,"Chất lượng cực kỳ kém. Số lượng xe ngày càng ít, đặt xe trung tâm HN 30 phút không có xe nhận Tài xế thái độ kém bắt đầu ngày càng nhiều Định vị kém. Đặt cuộc nào tài xế cung gọi hỏi đi hỏi lại địa chỉ, có cái định vị để làm cảnh à các bạn.",Driver Behavior,1,2026-05-22T18:13:45-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0189,TRIP-20260608-00039,TRUE
FB-00040,GreenSM,Thông tin cá nhân của khách không được bảo vệ,Thông tin cá nhân của khách không được bảo vệ. Tài xế sẽ biết ngay thông tin khách đã huỷ cuốc với lí do gì và có thể lấy được thông tin và tung sdt của khách lên các hội nhóm làm phiền khủng bố khách hàng. Yêu cầu Xanh có biện pháp xử lý.,Driver Behavior,1,2026-06-02T17:32:55-07:00,Hà Nội,"Cầu Giấy, Hà Nội",DRV-HN-0413,TRIP-20260608-00040,TRUE
